iter	Passed	Remaining
930	1687	10170
931	1689	10167
932	1690	10164
933	1692	10160
934	1693	10156
935	1695	10152
936	1696	10149
937	1698	10146
938	1699	10143
939	1701	10140
940	1703	10138
941	1704	10134
942	1706	10130
943	1707	10127
944	1709	10124
945	1711	10123
946	1713	10121
947	1715	10122
948	1717	10119
949	1718	10115
950	1720	10112
951	1721	10108
952	1723	10106
953	1725	10104
954	1726	10102
955	1728	10098
956	1729	10095
957	1731	10092
958	1733	10091
959	1735	10088
960	1736	10084
961	1737	10080
962	1739	10075
963	1741	10074
964	1743	10074
965	1744	10072
966	1746	10070
967	1748	10067
968	1749	10062
969	1751	10059
970	1752	10056
971	1754	10053
972	1756	10050
973	1757	10047
974	1759	10045
975	1761	10043
976	1762	10041
977	1764	10037
978	1765	10034
979	1767	10031
980	1769	10028
981	1770	10025
982	1772	10022
983	1774	10020
984	1775	10017
985	1777	10013
986	1779	10012
987	1780	10009
988	1782	10007
989	1783	10004
990	1785	10001
991	1787	9997
992	1788	9997
993	1790	9994
994	1792	9992
995	1793	9988
996	1795	9985
997	1797	9982
998	1798	9979
999	1800	9975
1000	1801	9972
1001	1803	9970
1002	1805	9968
1003	1806	9966
1004	1808	9963
1005	1809	9960
1006	1811	9956
1007	1812	9952
1008	1814	9949
1009	1816	9946
1010	1817	9943
1011	1818	9939
1012	1820	9937
1013	1822	9936
1014	1824	9932
1015	1825	9930
1016	1827	9928
1017	1829	9926
1018	1831	9925
1019	1832	9922
1020	1834	9922
1021	1836	9919
1022	1838	9916
1023	1839	9912
1024	1840	9908
1025	1842	9905
1026	1844	9903
1027	1845	9900
1028	1847	9896
1029	1848	9892
1030	1850	9889
1031	1851	9887
1032	1853	9885
1033	1855	9882
1034	1856	9878
1035	1858	9875
1036	1859	9871
1037	1860	9866
1038	1862	9865
1039	1864	9862
1040	1865	9859
1041	1867	9856
1042	1868	9852
1043	1870	9849
1044	1871	9846
1045	1873	9843
1046	1874	9839
1047	1876	9836
1048	1877	9832
1049	1879	9831
1050	1881	9829
1051	1883	9829
1052	1885	9826
1053	1886	9823
1054	1888	9820
1055	1889	9816
1056	1891	9813
1057	1892	9810
1058	1894	9807
1059	1896	9807
1060	1898	9805
1061	1899	9802
1062	1901	9799
1063	1902	9796
1064	1904	9793
1065	1905	9789
1066	1907	9787
1067	1909	9785
1068	1910	9783
1069	1912	9780
1070	1914	9777
1071	1915	9774
1072	1917	9772
1073	1918	9769
1074	1920	9766
1075	1921	9763
1076	1923	9761
1077	1925	9761
1078	1927	9759
1079	1929	9756
1080	1930	9753
1081	1932	9750
1082	1933	9746
1083	1935	9744
1084	1936	9740
1085	1938	9738
1086	1939	9735
1087	1941	9731
1088	1942	9728
1089	1944	9727
